South Australia,,
Area of Operation,Suburb,Post Code
SA: ADELAIDE REGION,,
Adelaide Inner Metro,ADELAIDE,5000
,ADELAIDE,5001
,NORTH ADELAIDE,5006
,BOWDEN,5007
,BROMPTON,5007
,HINDMARSH,5007
,WELLAND,5007
,WEST HINDMARSH,5007
,CROYDON,5008
,DEVON PARK,5008
,RENOWN PARK,5008
,RIDLEYTON,5008
,WEST CROYDON,5008
,ALLENBY GARDENS,5009
,BEVERLEY,5009
,KILKENNY,5009
,WOODVILLE,5011
,WOODVILLE PARK,5011
,WOODVILLE SOUTH,5011
,WOODVILLE WEST,5011
,ATHOL PARK,5012
,WOODVILLE NORTH,5012
,PENNINGTON,5013
,ROSEWATER,5013
,ROSEWATER EAST,5013
,ALBERT PARK,5014
,CHELTENHAM,5014
,HENDON,5014
,ROYAL PARK,5014
,SEMAPHORE PARK,5019
,WEST LAKES SHORE,5020
,WEST LAKES,5021
,GRANGE,5022
,HENLEY BEACH,5022
,HENLEY BEACH SOUTH,5022
,TENNYSON,5022
,FINDON,5023
,SEATON,5023
,FULHAM,5024
Adelaide Inner Metro,,
,FULHAM GARDENS,5024
,WEST BEACH,5024
,FLINDERS PARK,5025
,KIDMAN PARK,5025
,MILE END,5031
,MILE END SOUTH,5031
,THEBARTON,5031
,TORRENSVILLE,5031
,BROOKLYN PARK,5032
,LOCKLEYS,5032
,UNDERDALE,5032
,COWANDILLA,5033
,HILTON,5033
,MARLESTON,5033
,RICHMOND,5033
,WEST RICHMOND,5033
,CLARENCE PARK,5034
,GOODWOOD,5034
,KINGS PARK,5034
,MILLSWOOD,5034
,WAYVILLE,5034
,ASHFORD,5035
,BLACK FOREST,5035
,EVERARD PARK,5035
,FORESTVILLE,5035
,KESWICK,5035
,GLANDORE,5037
,KURRALTA PARK,5037
,NETLEY,5037
,NORTH PLYMPTON,5037
,CAMDEN PARK,5038
,PLYMPTON,5038
,NOVAR GARDENS,5040
,GLENELG NORTH,5045
,HYDE PARK,5061
,MALVERN,5061
,UNLEY,5061
,UNLEY PARK,5061
,EASTWOOD,5063
,FREWVILLE,5063
,FULLARTON,5063
,HIGHGATE,5063
,PARKSIDE,5063
Adelaide Inner Metro,,
,GLEN OSMOND,5064
,GLENUNGA,5064
,MOUNT OSMOND,5064
,MYRTLE BANK,5064
,ST GEORGES,5064
,DULWICH,5065
,GLENSIDE,5065
,LINDEN PARK,5065
,TOORAK GARDENS,5065
,TUSMORE,5065
,BEAUMONT,5066
,BURNSIDE,5066
,ERINDALE,5066
,HAZELWOOD PARK,5066
,STONYFELL,5066
,WATERFALL GULLY,5066
,WATTLE PARK,5066
,BEULAH PARK,5067
,KENT TOWN,5067
,NORWOOD,5067
,NORWOOD SOUTH,5067
,ROSE PARK,5067
,HEATHPOOL,5068
,KENSINGTON,5068
,KENSINGTON GARDENS,5068
,KENSINGTON PARK,5068
,LEABROOK,5068
,MARRYATVILLE,5068
,ST MORRIS,5068
,TRINITY GARDENS,5068
,COLLEGE PARK,5069
,EVANDALE,5069
,HACKNEY,5069
,MAYLANDS,5069
,ST PETERS,5069
,STEPNEY,5069
,FELIXSTOW,5070
,FIRLE,5070
,GLYNDE,5070
,JOSLIN,5070
,MARDEN,5070
,PAYNEHAM,5070
,PAYNEHAM SOUTH,5070
Adelaide Inner Metro,,
,ROYSTON PARK,5070
,AULDANA,5072
,MAGILL,5072
,MAGILL NORTH,5072
,ROSSLYN PARK,5072
,SKYE,5072
,TERINGIE,5072
,WOODFORDE,5072
,ROSTREVOR,5073
,COLLINSWOOD,5081
,GILBERTON,5081
,MEDINDIE,5081
,MEDINDIE GARDENS,5081
,VALE PARK,5081
,WALKERVILLE,5081
,FITZROY,5082
,OVINGHAM,5082
,PROSPECT,5082
,PROSPECT EAST,5082
,THORNGATE,5082
,BROADVIEW,5083
,NAILSWORTH,5083
,SEFTON PARK,5083
,UPPER HERMITAGE,5131
,PARACOMBE,5132
,SUMMERTOWN,5141
,URAIDLA,5142
,WOODSIDE,5244
,VERDUN,5245
,ADELAIDE AIRPORT,5950
Adelaide Inner North,CROYDON PARK,5008
,DUDLEY PARK,5008
,ANGLE PARK,5010
,FERRYDEN PARK,5010
,REGENCY PARK,5010
,MANSFIELD PARK,5012
,WOODVILLE GARDENS,5012
,GILLMAN,5013
,OTTOWAY,5013
,WINGFIELD,5013
,ALBERTON,5014
,QUEENSTOWN,5014
,BIRKENHEAD,5015
Adelaide Inner North,,
,ETHELTON,5015
,GLANVILLE,5015
,NEW PORT,5015
,PORT ADELAIDE,5015
,LARGS BAY,5016
,LARGS NORTH,5016
,PETERHEAD,5016
,OSBORNE,5017
,TAPEROO,5017
,NORTH HAVEN,5018
,OUTER HARBOR,5018
,EXETER,5019
,SEMAPHORE,5019
,SEMAPHORE SOUTH,5019
,HECTORVILLE,5073
,TRANMERE,5073
,TRANMERE NORTH,5073
,CAMPBELLTOWN,5074
,NEWTON,5074
,DERNANCOURT,5075
,PARADISE,5075
,ATHELSTONE,5076
,BLAIR ATHOL,5084
,KILBURN,5084
,KILBURN NORTH,5084
,CLEARVIEW,5085
,ENFIELD,5085
,ENFIELD PLAZA,5085
,NORTHFIELD,5085
,NORTHGATE,5085
,GILLES PLAINS,5086
,GREENACRES,5086
,HAMPSTEAD GARDENS,5086
,HILLCREST,5086
,MANNINGHAM,5086
,OAKDEN,5086
,KLEMZIG,5087
,WINDSOR GARDENS,5087
,HOLDEN HILL,5088
,HIGHBURY,5089
,HOPE VALLEY,5090
,BANKSIA PARK,5091
,TEA TREE GULLY,5091
Adelaide Inner North,,
,VISTA,5091
,MODBURY,5092
,MODBURY HEIGHTS,5092
,MODBURY NORTH,5092
,PARA VISTA,5093
,VALLEY VIEW,5093
,CAVAN,5094
,DRY CREEK,5094
,GEPPS CROSS,5094
,MAWSON LAKES,5095
,POORAKA,5095
,GULFVIEW HEIGHTS,5096
,PARA HILLS,5096
,PARA HILLS WEST,5096
,REDWOOD PARK,5097
,RIDGEHAVEN,5097
,ST AGNES,5097
,INGLE FARM,5098
,WALKLEY HEIGHTS,5098
,PARAFIELD,5106
,SALISBURY SOUTH,5106
,GREEN FIELDS,5107
,PARAFIELD GARDENS,5107
,PARALOWIE,5108
,SALISBURY,5108
,SALISBURY DOWNS,5108
,SALISBURY NORTH,5108
,BRAHMA LODGE,5109
,SALISBURY EAST,5109
,SALISBURY HEIGHTS,5109
,SALISBURY PARK,5109
,SALISBURY PLAIN,5109
,BOLIVAR,5110
,BURTON,5110
,DIREK,5110
,GLOBE DERBY PARK,5110
,ST KILDA,5110
,WATERLOO CORNER,5110
,EDINBURGH,5111
,ELIZABETH VALE,5112
,GOULD CREEK,5114
,ONE TREE HILL,5114
,GOLDEN GROVE,5125
Adelaide Inner North,,
,GREENWITH,5125
,FAIRVIEW PARK,5126
,SURREY DOWNS,5126
,YATALA VALE,5126
,WYNN VALE,5127
Adelaide Inner South,PLYMPTON PARK,5038
,SOUTH PLYMPTON,5038
,CLARENCE GARDENS,5039
,EDWARDSTOWN,5039
,MELROSE PARK,5039
,COLONEL LIGHT GARDENS,5041
,CUMBERLAND PARK,5041
,DAW PARK,5041
,PANORAMA,5041
,WESTBOURNE PARK,5041
,BEDFORD PARK,5042
,CLOVELLY PARK,5042
,PASADENA,5042
,ST MARYS,5042
,ASCOT PARK,5043
,MARION,5043
,MITCHELL PARK,5043
,MORPHETTVILLE,5043
,PARK HOLME,5043
,GLENGOWRIE,5044
,SOMERTON PARK,5044
,GLENELG,5045
,GLENELG EAST,5045
,GLENELG SOUTH,5045
,OAKLANDS PARK,5046
,WARRADALE,5046
,WARRADALE NORTH,5046
,DARLINGTON,5047
,SEACOMBE GARDENS,5047
,SEACOMBE HEIGHTS,5047
,STURT,5047
,BRIGHTON,5048
,DOVER GARDENS,5048
,HOVE,5048
,NORTH BRIGHTON,5048
,SOUTH BRIGHTON,5048
,KINGSTON PARK,5049
,MARINO,5049
Adelaide Inner South,,
,SEACLIFF,5049
,SEACLIFF PARK,5049
,SEAVIEW DOWNS,5049
,BELLEVUE HEIGHTS,5050
,EDEN HILLS,5050
,BLACKWOOD,5051
,COROMANDEL VALLEY,5051
,CRAIGBURN FARM,5051
,HAWTHORNDENE,5051
,BELAIR,5052
,GLENALTA,5052
,CLAPHAM,5062
,HAWTHORN,5062
,KINGSWOOD,5062
,LOWER MITCHAM,5062
,LYNTON,5062
,MITCHAM,5062
,NETHERBY,5062
,SPRINGFIELD,5062
,TORRENS PARK,5062
,URRBRAE,5064
,LEAWOOD GARDENS,5150
,CRAFERS,5152
,CRAFERS WEST,5152
,UPPER STURT,5156
,HALLETT COVE,5158
,O'HALLORAN HILL,5158
,SHEIDOW PARK,5158
,TROTT PARK,5158
Adelaide Outer East,CASTAMBUL,5076
,HOUGHTON,5131
,LOWER HERMITAGE,5131
,INGLEWOOD,5133
,CHERRYVILLE,5134
,MONTACUTE,5134
,NORTON SUMMIT,5136
,ASHTON,5137
,MARBLE HILL,5137
,BASKET RANGE,5138
,FOREST RANGE,5139
,GREENHILL,5140
,CAREY GULLY,5144
,PICCADILLY,5151
Adelaide Outer East,,
,STIRLING,5152
,BRADBURY,5153
,CHAPEL HILL,5153
,HEATHFIELD,5153
,LONGWOOD,5153
,MYLOR,5153
,SCOTT CREEK,5153
,ALDGATE,5154
,BRIDGEWATER,5155
,MOUNT GEORGE,5155
,CHAIN OF PONDS,5231
,KERSBROOK,5231
,MILLBROOK,5231
,CUDLEE CREEK,5232
,FORRESTON,5233
,GUMERACHA,5233
,BIRDWOOD,5234
,LENSWOOD,5240
,LOBETHAL,5241
,BALHANNAH,5242
,OAKBANK,5243
,CHARLESTON,5244
,INVERBRACKIE,5244
,MOUNT TORRENS,5244
Adelaide Outer North,ELIZABETH,5112
,ELIZABETH EAST,5112
,ELIZABETH GROVE,5112
,ELIZABETH SOUTH,5112
,HILLBANK,5112
,DAVOREN PARK,5113
,DAVOREN PARK SOUTH,5113
,ELIZABETH DOWNS,5113
,ELIZABETH NORTH,5113
,ELIZABETH PARK,5113
,ELIZABETH WEST,5113
,MACDONALD PARK,5121
,PENFIELD,5121
,PENFIELD GARDENS,5121
,REGENCY PARK,5942
Adelaide Outer South,IRONBANK,5153
,CHERRY GARDENS,5157
,CLARENDON,5157
,COROMANDEL EAST,5157
Adelaide Outer South,,
,KANGARILLA,5157
,ABERFOYLE PARK,5159
,CHANDLERS HILL,5159
,FLAGSTAFF HILL,5159
,HAPPY VALLEY,5159
,LONSDALE,5160
,OLD REYNELLA,5161
,REYNELLA,5161
,REYNELLA EAST,5161
,MORPHETT VALE,5162
,WOODCROFT,5162
,HACKHAM,5163
,HACKHAM WEST,5163
,HUNTFIELD HEIGHTS,5163
,ONKAPARINGA HILLS,5163
,CHRISTIE DOWNS,5164
,CHRISTIES BEACH,5165
,CHRISTIES BEACH NORTH,5165
,O'SULLIVAN BEACH,5166
,PORT NOARLUNGA,5167
,PORT NOARLUNGA SOUTH,5167
,NOARLUNGA DOWNS,5168
,OLD NOARLUNGA,5168
,MOANA,5169
,SEAFORD,5169
,SEAFORD MEADOWS,5169
,SEAFORD RISE,5169
,MASLIN BEACH,5170
,BLEWITT SPRINGS,5171
,MCLAREN FLAT,5171
,MCLAREN VALE,5171
,TATACHILLA,5171
,KUITPO,5172
,KUITPO COLONY,5172
,WHITES VALLEY,5172
,WILLUNGA,5172
,WILLUNGA HILL,5172
,WILLUNGA SOUTH,5172
,YUNDI,5172
,ALDINGA,5173
,ALDINGA BEACH,5173
,PORT WILLUNGA,5173
,SELLICKS BEACH,5174
Adelaide Outer South,,
,SELLICKS HILL,5174
,PROSPECT HILL,5201
,HINDMARSH TIERS,5202
,MYPONGA,5202
,MYPONGA BEACH,5202
Gawler,KUDLA,5115
,EVANSTON,5116
,EVANSTON GARDENS,5116
,EVANSTON PARK,5116
,EVANSTON SOUTH,5116
,HILLIER,5116
,BIBARINGA,5118
,GAWLER,5118
,GAWLER EAST,5118
,GAWLER SOUTH,5118
,GAWLER WEST,5118
,REID,5118
,WILLASTON,5118
Playford,ANDREWS FARM,5114
,BLAKEVIEW,5114
,CRAIGMORE,5114
,SAMPSON FLAT,5114
,SMITHFIELD,5114
,SMITHFIELD PLAINS,5114
,ULEYBURY,5114
,YATTALUNGA,5114
,MUNNO PARA,5115
,MUNNO PARA DOWNS,5115
,MUNNO PARA WEST,5115
,ANGLE VALE,5117
,BUCKLAND PARK,5120
,VIRGINIA,5120
SA: EYRE REGION,,
Ceduna,PIMBAACLA,5661
,SMOKY BAY,5680
,CEDUNA,5690
,KOONIBBA,5690
,THEVENARD,5690
Cleve,ARNO BAY,5603
,CLEVE,5640
Cowell,COWELL,5602
Kimba,BUCKLEBOO,5641
,KIMBA,5641
Kimba,,
,COOTRA,5650
Port Lincoln,TUMBY BAY,5605
,PORT LINCOLN,5606
,COFFIN BAY,5607
,LOUTH BAY,5607
,MURDINGA,5607
,NORTH SHIELDS,5607
,PORT LINCOLN,5607
,SHERINGA,5607
,VENUS BAY,5607
,WANGARY,5607
,COCKALEECHIE,5631
,CUMMINS,5631
,LOCK,5633
,ELLISTON,5670
,PORT KENNY,5671
Streaky Bay,POOCHERA,5655
,HASLAM,5680
,PERLUBIE,5680
,STREAKY BAY,5680
Wudinna,WARRAMBOO,5650
,WUDINNA,5652
,MINNIPA,5654
SA: KANGAROO ISLAND REGION,,
Kangaroo Island,PARNDANA,5220
,AMERICAN RIVER,5221
,BALLAST HEAD,5221
,MUSTON,5221
,ANTECHAMBER BAY,5222
,BAUDIN BEACH,5222
,CUTTLEFISH BAY,5222
,DUDLEY EAST,5222
,DUDLEY WEST,5222
,IRONSTONE,5222
,ISLAND BEACH,5222
,KANGAROO HEAD,5222
,PELICAN LAGOON,5222
,PENNESHAW,5222
,PORKY FLAT,5222
,SAPPHIRETOWN,5222
,WILLOUGHBY,5222
,WILLSON RIVER,5222
,BAY OF SHOALS,5223
Kangaroo Island,,
,BIRCHMORE,5223
,CAPE BORDA,5223
,CASSINI,5223
,CYGNET RIVER,5223
,D'ESTREES BAY,5223
,DE MOLE RIVER,5223
,DUNCAN,5223
,EMU BAY,5223
,FLINDERS CHASE,5223
,GOSSE,5223
,HAINES,5223
,KARATTA,5223
,KINGSCOTE,5223
,KOHINOOR,5223
,MACGILLIVRAY,5223
,MENZIES,5223
,MIDDLE RIVER,5223
,NEPEAN BAY,5223
,NEWLAND,5223
,NORTH CAPE,5223
