South Australia,,
,SEAL BAY,5223
,SEDDON,5223
,STOKES BAY,5223
,STUN'SAIL BOOM,5223
,VIVONNE BAY,5223
,WESTERN RIVER,5223
,WISANGER,5223
SA: MURRAY LANDS REGION,,
Berri Barmera,MONASH,5342
,BERRI,5343
,GERARD,5343
,WINKIE,5343
,GLOSSOP,5344
,BARMERA,5345
,LOVEDAY,5345
,COBDOGLA,5346
,KONGOLIA,5353
,NAIDIA,5354
,PUNYELROO,5354
Coorong,NARRUNG,5259
,TAILEM BEND,5259
,TAILEM BEND,5260
,COOKE PLAINS,5261
Coorong,,
,COOMANDOOK,5261
,YUMALI,5261
,MENINGIE,5264
,COONALPYN,5265
,TINTINARA,5266
,JABUK,5301
,PEAKE,5301
,SHERLOCK,5301
Loxton,PEEBINGA,5304
,CALIPH,5310
,ALAWOONA,5311
,BILLIATT,5311
,BUGLE HUT,5311
,MAGGEA,5311
,MALPAS,5311
,MERIBAH,5311
,PARUNA,5311
,TALDRA,5311
,TAPLAN,5311
,VEITCH,5311
,WUNKAR,5311
,MURBKO,5320
,GOLDEN HEIGHTS,5322
,QUALCO,5322
,RAMCO,5322
,RAMCO HEIGHTS,5322
,SUNLANDS,5322
,LOWBANK,5330
,KINGSTON ON MURRAY,5331
,MOOROOK,5332
,LOXTON,5333
,LOXTON NORTH,5333
,PYAP,5333
,NOTTS WELL,5357
,PAISLEY,5357
Mallee,BOWHILL,5238
,GERANIUM,5301
,PARRAKIE,5301
,WILKAWATT,5301
,WYNARKA,5306
,KAROONDA,5307
,MARAMA,5307
,COPEVILLE,5308
Mallee,,
,GALGA,5308
,MANTUNG,5308
,MERCUNDA,5308
,PERPONDA,5308
,BORRIKA,5309
,HALIDON,5309
,MINDARIE,5309
,SANDALWOOD,5309
,WANBI,5310
,BAKARA,5354
,BAKARA WELL,5354
Mannum,TUNGKILLO,5236
,APAMURRA,5237
,MILENDELLA,5237
,PALMER,5237
,SANDERSTON,5237
,COWIRRA,5238
,MANNUM,5238
,NILDOTTIE,5238
,PORT MANNUM,5238
,PUNTHARI,5238
,PURNONG LANDING,5238
,WALKER FLAT,5238
,WONGULLA,5238
,YOUNGHUSBAND,5238
,CALOOTE,5254
,BEATTY,5320
,BRENDA PARK,5320
,EBA,5320
,LINDLEY,5320
,MAUDE,5320
,MORGAN,5320
,NORTH WEST BEND,5320
,STUART,5320
,CADELL,5321
,BLACK HILL,5353
,CAMBRAI,5353
,KEYNETON,5353
,SEDAN,5353
,TOWITTA,5353
,FISHER,5354
,GREENWAYS LANDING,5354
,LANGS LANDING,5354
Mannum,,
,MARKS LANDING,5354
,SWAN REACH,5354
,TRURO,5356
,BLANCHETOWN,5357
,BOWER,5374
,MOUNT MARY,5374
Murray Bridge,BUGLE RANGES,5251
,HAY VALLEY,5252
,ST IVES,5252
,GIFFORD HILL,5253
,LONG FLAT,5253
,MURRAY BRIDGE,5253
,MURRAY BRIDGE EAST,5253
,MURRAY BRIDGE SOUTH,5253
,NORTHERN HEIGHTS,5253
,RIVERGLADES,5253
,SUNNYSIDE,5253
,SWANPORT,5253
,WHITE SANDS,5253
,WOODS POINT,5253
,MONARTO,5254
,MONARTO SOUTH,5254
,MURRAY BRIDGE,5254
,MYPOLONGA,5254
,JERVOIS,5259
,WELLINGTON,5259
,WELLINGTON EAST,5259
Pinnaroo,LAMEROO,5302
,PARILLA,5303
,PINNAROO,5304
Renmark,PARINGA,5340
,COOLTONG,5341
,RENMARK,5341
,RENMARK NORTH,5341
,RENMARK SOUTH,5341
,LYRUP,5343
Waikerie,WAIKERIE,5276
SA: NORTHERN REGION,,
Jamestown,MANNANARIE,5422
,TARCOWIE,5431
,ANDREWS,5454
,SPALDING,5454
,WASHPOOL,5454
Jamestown,,
,YACKA,5470
,GULNARE,5471
,BELALIE EAST,5491
,BELALIE NORTH,5491
,HORNSDALE,5491
,JAMESTOWN,5491
Orroroo,ERSKINE,5422
,YATINA,5422
,ORROROO,5431
,CARRIETON,5432
Peterborough,FRANKLYN,5421
,TEROWIE,5421
,CAVENAGH,5422
,DAWSON,5422
,HARDY,5422
,MINVALARA,5422
,OODLA WIRRA,5422
,PARATOO,5422
,PARNAROO,5422
,PETERBOROUGH,5422
,SUNNYBRAE,5422
,UCOLTA,5422
,YONGALA,5493
Port Augusta,BLANCHE HARBOR,5700
,PORT AUGUSTA,5700
,PORT AUGUSTA NORTH,5700
,PORT AUGUSTA WEST,5700
,PORT AUGUSTA,5710
,STIRLING NORTH,5710
,TARCOOLA,5710
Port Pirie,HAMMOND,5431
,WILLOWIE,5431
,KOOLUNGA,5464
,GEORGETOWN,5472
,GLADSTONE,5473
,APPILA,5480
,LAURA,5480
,MURRAY TOWN,5481
,WIRRABARA,5481
,BOOLEROO CENTRE,5482
,MELROSE,5483
,WILMINGTON,5485
,CALTOWIE,5490
Port Pirie,,
,PORT GERMEIN,5495
,REDHILL,5521
,CRYSTAL BROOK,5523
,NAPPERBY,5540
,PORT PIRIE,5540
,PORT PIRIE SOUTH,5540
,PORT PIRIE WEST,5540
,RISDON PARK,5540
,RISDON PARK SOUTH,5540
,SOLOMONTOWN,5540
,WARNERTOWN,5540
,WINNINOWIE,5710
Quorn,CRADOCK,5432
,MOOCKRA,5432
,QUORN,5433
,HAWKER,5434
Whyalla,WHYALLA,5600
,WHYALLA PLAYFORD,5600
,IRON KNOB,5601
,WHYALLA NORRIE,5608
,WHYALLA NORRIE EAST,5608
,WHYALLA NORRIE NORTH,5608
,WHYALLA STUART,5608
,WHYALLA JENKINS,5609
SA: OUTER ADELAIDE REGION,,
Fleurieu Peninsula,MCHARG CREEK,5157
,DINGABLEDINGA,5172
,PAGES FLAT,5172
,BALD HILLS,5203
,PARAWA,5203
,TORRENS VALE,5203
,TUNKALILLA,5203
,WATTLE FLAT,5203
,YANKALILLA,5203
,CAPE JERVIS,5204
,CARRICKALINGA,5204
,DEEP CREEK,5204
,DELAMERE,5204
,HAY FLAT,5204
,NORMANVILLE,5204
,RAPID BAY,5204
,SECOND VALLEY,5204
,SILVERTON,5204
Fleurieu Peninsula,,
,WIRRINA COVE,5204
,MOUNT COMPASS,5210
,NANGKITA,5210
,BACK VALLEY,5211
,ENCOUNTER BAY,5211
,HAYBOROUGH,5211
,HINDMARSH VALLEY,5211
,INMAN VALLEY,5211
,LOWER INMAN VALLEY,5211
,MCCRACKEN,5211
,MOUNT JAGGED,5211
,VICTOR HARBOR,5211
,WAITPINGA,5211
,WILLOW CREEK,5211
,PORT ELLIOT,5212
,MIDDLETON,5213
,CURRENCY CREEK,5214
,GOOLWA,5214
,GOOLWA BEACH,5214
,GOOLWA NORTH,5214
,GOOLWA SOUTH,5214
,HINDMARSH ISLAND,5214
,BELVIDERE,5255
,GEMMELLS,5255
,HARTLEY,5255
,HIGHLAND VALLEY,5255
,SANDERGROVE,5255
,TOOPERANG,5255
,WILLYAROO,5255
,CLAYTON BAY,5256
Mallala,PINERY,5460
,STOCKYARD CREEK,5460
,AVON,5501
,CALOMBA,5501
,DUBLIN,5501
,LEWISTON,5501
,LONG PLAINS,5501
,LOWER LIGHT,5501
,MIDDLE BEACH,5501
,PARHAM,5501
,PORT GAWLER,5501
,THOMPSON BEACH,5501
,TWO WELLS,5501
Mallala,,
,WEBB BEACH,5501
,WINDSOR,5501
,FISCHER,5502
,GRACE PLAINS,5502
,KORUNYE,5502
,MALLALA,5502
,REDBANKS,5502
,REEVES PLAINS,5502
Mount Barker,BIGGS FLAT,5153
,ECHUNGA,5153
,FLAXLEY,5153
,GREEN HILLS RANGE,5153
,JUPITER CREEK,5153
,MACCLESFIELD,5153
,BULL CREEK,5157
,MEADOWS,5201
,HARROGATE,5244
,HAHNDORF,5245
,PAECHTOWN,5245
,BLAKISTON,5250
,LITTLEHAMPTON,5250
,TOTNESS,5250
,MOUNT BARKER,5251
,MOUNT BARKER JUNCTION,5251
,MOUNT BARKER SPRINGS,5251
,MOUNT BARKER SUMMIT,5251
,WISTOW,5251
,BRUKUNGA,5252
,DAWESLEY,5252
,KANMANTOO,5252
,NAIRNE,5252
,CALLINGTON,5254
Nuriootpa,CONCORDIA,5118
,KALBEEBA,5118
,CROMER,5235
,EDEN VALLEY,5235
,FLAXMAN VALLEY,5235
,MOUNT PLEASANT,5235
,SPRINGTON,5235
,TAUNTON,5235
,SANDY CREEK,5350
,ALTONA,5351
,BAROSSA GOLDFIELDS,5351
Nuriootpa,,
,COCKATOO VALLEY,5351
,LYNDOCH,5351
,MOUNT CRAWFORD,5351
,PEWSEY VALE,5351
,WILLIAMSTOWN,5351
,BETHANY,5352
,KRONDORF,5352
,ROWLAND FLAT,5352
,TANUNDA,5352
,VINE VALE,5352
,ANGASTON,5353
,FLAXMAN VALLEY,5353
,MOCULTA,5353
,MOUNT MCKENZIE,5353
,PENRICE,5353
,SUNNYDALE,5354
,LIGHT PASS,5355
,NURIOOTPA,5355
,STOCKWELL,5355
Kapunda,BUCHFELDE,5118
,GAWLER BELT,5118
,GAWLER RIVER,5118
,HEWETT,5118
,KANGAROO FLAT,5118
,WARD BELT,5118
,ROSEDALE,5350
,DAVEYSTON,5355
,MARANANGA,5355
,SEPPELTSFIELD,5355
,GREENOCK,5360
,MORN HILL,5371
,ROSEWORTHY,5371
,SHEA-OAK LOG,5371
,TEMPLERS,5371
,FREELING,5372
,BETHEL,5373
,HAMILTON,5373
,KAPUNDA,5373
,KOONUNGA,5373
,HANSBOROUGH,5374
,PINKERTON PLAINS,5400
,WASLEYS,5400
,WOOLSHEDS,5400
Kapunda,,
,HAMLEY BRIDGE,5401
,LINWOOD,5410
Strathalbyn,ASHBOURNE,5201
,PARIS CREEK,5255
,FINNISS,5255
,LANGHORNE CREEK,5255
,STRATHALBYN,5255
,WOODCHESTER,5256
,MILANG,5330
SA: SOUTH EAST REGION,,
Bordertown,KEITH,5267
,BORDERTOWN,5268
,WOLSELEY,5269
,MUNDULLA,5270
,PADTHAWAY,5271
Kingston SE,KINGSTON SE,5275
Millicent,COONAWARRA,5263
,NANGWARRY,5277
,PENOLA,5277
,KALANGADOO,5278
,MOUNT BURR,5279
,BEACHPORT,5280
,MILLICENT,5280
,SOUTHEND,5280
,TANTANOOLA,5280
,GLENCOE,5291
Mount Gambier,TARPEENA,5277
,MOUNT GAMBIER,5290
,ALLENDALE EAST,5291
,CARPENTER ROCKS,5291
,COMPTON,5291
,DISMAL SWAMP,5291
,DONOVANS,5291
,EIGHT MILE CREEK,5291
,GLENBURNIE,5291
,KONGORONG,5291
,MOORAK,5291
,MOUNT GAMBIER,5291
,MOUNT GAMBIER EAST,5291
,MOUNT GAMBIER WEST,5291
,MOUNT SCHANK,5291
,OB FLAT,5291
,PORT MACDONNELL,5291
Mount Gambier,,
,RACECOURSE BAY,5291
,SUTTONTOWN,5291
,WORROLONG,5291
,YAHL,5291
Naracoorte,BINNUM,5262
,FRANCES,5262
,HYNAM,5262
,KYBYBOLITE,5262
,NARACOORTE,5271
,LUCINDALE,5272
,AVENUE RANGE,5273
Robe,ROBE,5311
,WOODLEIGH,5157
SA: YORK AND LOWER NORTH REGION,,
Burra,BUNDEY,5320
,BROWNLOW,5374
,BUCHANAN,5374
,EUDUNDA,5374
,FRANKTON,5374
,HAMPDEN,5374
,JULIA,5374
,NGAPALA,5374
,PEEP HILL,5374
,POINT PASS,5374
,SUTHERLANDS,5374
,BRADY CREEK,5381
,BRIGHT,5381
,GERANIUM PLAINS,5381
,HALLELUJAH HILLS,5381
,ROBERTSTOWN,5381
,ROCKY PLAIN,5381
,WORLDS END,5381
,APOINGA,5413
,FARRELL FLAT,5416
,PORTER LAGOON,5416
,BALDINA,5417
,BOOBOROWIE,5417
,BURRA,5417
,BURRA EASTERN DISTRICTS,5417
,GUM CREEK,5417
,HANSON,5417
,KOONOONA,5417
,LEIGHTON,5417
Burra,,
,MONGOLATA,5417
,NORTH BOOBOROWIE,5417
,COLLINSVILLE,5418
,MOUNT BRYAN,5418
,CANOWIE,5419
,ULOOLOO,5419
,WILLALO,5419
,CANOWIE BELT,5420
,WHYTE YARCOWIE,5420
Clare,STOCKPORT,5410
,GILES CORNER,5411
,TARLEE,5411
,NAVAN,5412
,RHYNIE,5412
,RIVERTON,5412
,BLACK SPRINGS,5413
,MARRABEL,5413
,SADDLEWORTH,5413
,STEELTON,5413
,TARNMA,5413
,TOTHILL BELT,5413
,TOTHILL CREEK,5413
,WATERLOO,5413
,MANOORA,5414
,MINTARO,5415
,AUBURN,5451
,UNDALYA,5451
,LEASINGHAM,5452
,WATERVALE,5452
,ARMAGH,5453
,CLARE,5453
,HOYLETON,5453
,KYBUNGA,5453
,PENWORTHAM,5453
,SEVENHILL,5453
,STANLEY FLAT,5453
,HILLTOWN,5455
,ANAMA,5464
,BUNGAREE,5464
,DARKE PEAK,5642
,KIELPA,5642
,RUDALL,5642
Kadina,KAINTON,5552
Kadina,,
,PASKEVILLE,5552
,SUNNYVALE,5552
,THRINGTON,5552
,CUNLIFFE,5554
,JERICHO,5554
,JERUSALEM,5554
,KADINA,5554
,MATTA FLAT,5554
,NEW TOWN,5554
,WALLAROO MINES,5554
,NORTH BEACH,5556
,WALLAROO,5556
,WARBURTO,5556
,CROSS ROADS,5558
,EAST MOONTA,5558
,HAMLEY,5558
,KOOROONA,5558
,MOONTA,5558
,MOONTA BAY,5558
,MOONTA MINES,5558
,NORTH MOONTA,5558
,NORTH YELTA,5558
,PORT HUGHES,5558
,YELTA,5558
Maitland,PRICE,5570
,ARDROSSAN,5571
,BLACK POINT,5571
,PINE POINT,5571
,TIDDY WIDDY BEACH,5571
,ARTHURTON,5572
,BALGOWAN,5573
,MAITLAND,5573
,PORT VICTORIA,5573
,BRENTWOOD,5575
,CORNY POINT,5575
,HARDWICKE BAY,5575
,MARION BAY,5575
,MINLATON,5575
,POINT TURTON,5575
,PORT RICKABY,5575
,THE PINES,5575
,WOOL BAY,5575
,YORKETOWN,5576
Maitland,,
,WAROOKA,5577
,CURRAMULKA,5580
,PORT VINCENT,5581
,STANSBURY,5582
,COOBOWIE,5583
,EDITHBURGH,5583
Port Broughton,FISHERMAN BAY,5522
,PORT BROUGHTON,5522
,ALFORD,5555
,KULPARA,5555
,MELTON,5555
,MUNDOORA,5555
,TICKERA,5555
,BUTE,5560
Port Wakefield,OWEN,5460
,BALAKLAVA,5461
,HALBURY,5461
,MOUNT TEMPLETON,5461
,BLYTH,5462
,BRINKWORTH,5464
,CONDOWIE,5464
,HART,5464
,MAROLA,5464
,ROCHESTER,5464
,WILD HORSE PLAINS,5501
,LOCHIEL,5510
,SNOWTOWN,5520
,PORT WAKEFIELD,5550
